hotel_code,Hotels ,Location,star,No of rooms,Single Half Board Rate,Double Half Board Rate,Triple Half Board Rate,Single Full Board Rate,Double Full Board Rate,Triple Full Board Rate,Single BB Rate,Double BB Rate,Triple BB Board Rate,Remarks,Category_Location,Market,Guide Accomadation,Website
19,ELEPHANT REACH,YALA,4,,60,65,80,70,75,90,50,55,70,Valid till Oct,SPECIAL RATES,Indian,,
83,WELIGAMA BAY MARRIOT,WELIGAMA,5,,54,145,215,64,155,225,44,135,205,Valid- SEP 24 only,SPECIAL RATES,Indian,,
12,CLUB BENTOTA,WASKADUWA,3,,65,70,85,75,80,95,55,60,75,,DOWN SOUTH,Indian,,
32,HOTEL GREEN GARDEN,TRINCOMALEE,3,,75,70,75,85,80,85,65,60,65,,TRINCOMALEE,Indian,,trip.com/hotels/Trincomalee-hotel-detail-9030074/hotel-green-garden/
79,TRINCOMALEE BEACH RESORT,TRINCOMALEE,3,,60,65,70,70,75,80,50,55,60,,TRINCOMALEE,Indian,,Home • Trincomalee Beach Resorts & Spa (Trincomaleebeachresortandspa.com)
44,NEEM VILLAS ,THISSAMAHARAMA,3,,50,55,65,60,65,75,40,45,55,,YALA,Indian,,"Neem Villas Reviews, Deals & Photos 2024 - Expedia"
14,COVANRO,SIGIRIYA,5,,120,125,100,130,135,110,110,115,90,,DAMBULLA,Indian,,Experience Blissful Comfort | Elephas Resort & Spa (elephasSigiriya.com)
18,EKHO SIGIRIYA,SIGIRIYA,4,20,65,70,100,75,80,110,55,60,90,,DAMBULLA,Indian,,Ceyloni Sigiriya Hotel in Sigiriya - Welcome (hotelonia.com)
20,ELEPHAS HOTEL,SIGIRIYA,4,31,55,70,80,65,80,90,45,60,70,,DAMBULLA,Indian,,Hotels In Sigiriya | EKHO Hotels & Resorts | Official Site
36,KAVERI AYURVEDA RESORT AND,SIGIRIYA,4,31,65,70,80,75,80,90,55,60,70,,DAMBULLA,Indian,,
63,SIGIRI HERITAGE VILLA,SIGIRIYA,3,12,45,50,70,55,60,80,35,40,60,,DAMBULLA,Indian,,Sigiriya Kingdom Gate Hotel - Dambulla
65,SIGIRIYA KINGDOM RESORT,SIGIRIYA,3,20,55,70,90,65,80,100,45,60,80,,DAMBULLA,Indian,,"Sigiriya Forest Edge by Marino Leisure,Dambulla - Updated 2024 Reviews & Prices | Trip.com"
47,OAK RAY TEA BUSH RAMBODA,RAMBODA/NUWARA ELIYA,3,,55,60,80,65,70,90,45,50,70,,NUWARA ELIYA,Indian,,
19,JETWING RESORT,POLONNARUWA,3,,60,65,80,70,75,90,50,55,70,Valid till Oct,SPECIAL RATES,Indian,,
19,PINNAWALA RESORT,PINNALAWALA,3,,60,65,80,70,75,90,50,55,70,Valid till Oct,SPECIAL RATES,Indian,,
3,ALPHINE ,NUWARA ELIYA,3,,70,75,80,80,85,90,60,65,70,,NUWARA ELIYA,Indian,,
4,ARALIYA GREEN CITY,NUWARA ELIYA,5,,130,140,170,140,150,180,120,130,160,,NUWARA ELIYA,Indian,,
5,ARALIYA GREEN HILLS,NUWARA ELIYA,4,,115,130,155,125,140,165,105,120,145,,NUWARA ELIYA,Indian,,
6,ASHFORD,NUWARA ELIYA,3,,80,85,85,90,95,95,70,75,75,,NUWARA ELIYA,Indian,,
7,BLACKPOOL RESORT & SPA,NUWARA ELIYA,4,,80,85,120,90,95,130,70,75,110,,NUWARA ELIYA,Indian,,
21,GALWAY HEIGHT'S,NUWARA ELIYA,4,,100,130,160,110,140,170,90,120,150,,NUWARA ELIYA,Indian,,
22,GOLF GREEN BUNGLAOW,NUWARA ELIYA,3,,55,60,70,65,70,80,45,50,60,,NUWARA ELIYA,Indian,,
28,HEAVEN SEVEN,NUWARA ELIYA,3,,80,85,90,90,95,100,70,75,80,,NUWARA ELIYA,Indian,,
30,HERITANCE TEA FACTORY,NUWARA ELIYA,5,,162,190,266,172,200,276,152,180,256,,NUWARA ELIYA,Indian,,
35,JETWING ST. ANDREW'S ,NUWARA ELIYA,4,,110,130,185,120,140,195,100,120,175,,NUWARA ELIYA,Indian,,
37,LYNDEN GROVE,NUWARA ELIYA,4,,60,95,125,70,105,135,50,85,115,,NUWARA ELIYA,Indian,,
40,MIRAGE KING'S COTTAGE,NUWARA ELIYA,4,,65,95,100,75,105,110,55,85,90,Call Shafraz and Clarify,SPECIAL RATES,Indian,,
40,MIRAGE KING'S COTTAGE,NUWARA ELIYA,4,,65,95,120,75,105,130,55,85,110,,NUWARA ELIYA,Indian,,
42,MOONPLAINS APRTMENTS ,NUWARA ELIYA,3,,75,80,90,85,90,100,65,70,80,,NUWARA ELIYA,Indian,,
46,OAK RAY SUMMER HILL BREEZE,NUWARA ELIYA,3,,55,65,80,65,75,90,45,55,70,,NUWARA ELIYA,Indian,,
53,QUEENSBURY,NUWARA ELIYA,3,,50,55,75,60,65,85,40,45,65,,NUWARA ELIYA,Indian,,
67,STAMFORD STAR,NUWARA ELIYA,3,,50,55,90,60,65,100,40,45,80,,NUWARA ELIYA,Indian,,
72,THE BLACKPOOL RESORT & SPA,NUWARA ELIYA,4,,70,90,100,80,100,110,60,80,90,,SPECIAL RATES,Indian,,
73,THE GOLDEN RIDGE,NUWARA ELIYA,5,,140,150,180,150,160,190,130,140,170,,NUWARA ELIYA,Indian,,
74,THE GRAND HOTEL,NUWARA ELIYA,4,,70,260,300,80,270,310,60,250,290,,NUWARA ELIYA,Indian,,
84,WINDSOR HOTEL,NUWARA ELIYA,3,,45,50,90,55,60,100,35,40,80,,NUWARA ELIYA,Indian,,
51,PEGION ISLAND RESORT AND SPA,NILAVELI,3,,65,70,75,75,80,85,55,60,65,,TRINCOMALEE,Indian,,Pigeon Island Beach Resort | Home (pigeonislandresort.com)
43,MOUNT LAVANIA HOTEL,MOUNT LAVINIA ,4,,80,90,125,90,100,135,70,80,115,,SPECIAL RATES,Indian,,
43,MOUNT LAVANIA HOTEL,MOUNT LAVINIA ,4,,70,70,95,80,80,105,60,60,85,BB RATES,SPECIAL RATES,Indian,,
38,MANDARA BEACH RESORT,MIRISSA,4,,75,85,115,85,95,125,65,75,105,Valid- Till Oct 25,DOWN SOUTH,Indian,,
62,SHERATON KOSGODA,KOSGODA,5,,120,120,150,130,130,160,110,110,140,Tactical Offer,SPECIAL RATES,Indian,,
