hotel_code,Hotels,Location,star,No of rooms,Single Half Board Rate,Double Half Board Rate,Triple Half Board Rate,Single Full Board Rate,Double Full Board Rate,Triple Full Board Rate,Single BB Rate,Double BB Rate,Triple BB Board Rate,Remarks,Category_Location,Market,Guide Accomadation,Website
0001,88TH ELLA,ELLA,3,,90,95,100,100,105,110,80,85,90,,ELLA,Indian,,88th Ella Hotel : 88th Hotels and Resorts (88lanka.com)
0002,ACME GRAND ,HABARANA,3,70,55,60,70,65,70,80,45,50,60,,DAMBULLA,Indian,,
0003,ALPHINE ,NUWARA ELIYA,3,,70,75,80,80,85,90,60,65,70,,NUWARA ELIYA ,Indian,,
0004,ARALIYA GREEN CITY,NUWARA ELIYA,5,,130,140,170,140,150,180,120,130,160,,NUWARA ELIYA ,Indian,,
0005,ARALIYA GREEN HILLS,NUWARA ELIYA,4,,115,130,155,125,140,165,105,120,145,,NUWARA ELIYA ,Indian,,
0006,ASHFORD,NUWARA ELIYA,3,,80,85,85,90,95,95,70,75,75,,NUWARA ELIYA ,Indian,,
0007,BLACKPOOL RESORT & SPA,NUWARA ELIYA,4,,80,85,120,90,95,130,70,75,110,,NUWARA ELIYA ,Indian,,
0008,CEYLONI SIGIRIYA,HABARANA RD SIGIRIYA,3,15,50,55,100,60,65,110,40,45,90,,DAMBULLA,Indian,,"SIGIRI HERITANCE VILLA - Updated 2024 Prices & Lodge Reviews (Sigiriya, Sri Lanka) (tripadvisor.com)"
0009,CINNAMON CITADEL,KANDY,4,,90,95,135,100,105,145,80,85,125,Valid till Ooc 24,SPECIAL RATES,Indian,,
0010,CINNAMON LAKESIDE,COLOMBO,5,,90,95,132,100,105,142,80,85,122,BB RATES,SPECIAL RATES,Indian,,
0011,CINNAMON LODGE,HABARANA,5,,85,90,130,95,100,140,75,80,120,Valid till Oct 24,SPECIAL RATES,Indian,,
0012,CLUB BENTOTA,WASKADUWA,3,,65,70,85,75,80,95,55,60,75,,DOWN SOUTH,Indian,,
0013,COCO ROYAL (RATHNA BEACH RESORT),BENTOTA,3,,65,70,100,75,80,110,55,60,90,,DOWN SOUTH,Indian,,
0014,COVANRO,SIGIRIYA,5,,120,125,100,130,135,110,110,115,90,,DAMBULLA,Indian,,Experience Blissful Comfort | Elephas Resort & Spa (elephasSigiriya.com)
0015,DEVON,KANDY,3,,35,40,50,45,50,60,25,30,40,Without Vat/ Valid till Oct,KANDY,Indian,,
0016,EARLS REGENCY,KANDY,5,,77,90,126,87,100,136,67,80,116,Valid from Sep to Oct 24,SPECIAL RATES,Indian,,
0017,EARLS REGENT,KANDY,4,,60,65,85,70,75,95,50,55,75,Valid till Oct,KANDY,Indian,,
0018,EKHO SIGIRIYA,SIGIRIYA,4,20,65,70,100,75,80,110,55,60,90,,DAMBULLA,Indian,,Ceyloni Sigiriya Hotel in Sigiriya - Welcome (hotelonia.com)
0019,ELEPHANT REACH,YALA,4,,60,65,80,70,75,90,50,55,70,Valid till Oct,SPECIAL RATES,Indian,,
0019,ELEPHANT REACH,KIRINDA,4,,65,70,90,75,80,100,55,60,80,,YALA,Indian,,Luxury Wildlife Hotel in Yala Sri Lanka | elephantreach.com
0020,ELEPHAS HOTEL,SIGIRIYA,4,31,55,70,80,65,80,90,45,60,70,,DAMBULLA,Indian,,Hotels In Sigiriya | EKHO Hotels & Resorts | Official Site
0021,GALWAY HEIGHT'S,NUWARA ELIYA,4,,100,130,160,110,140,170,90,120,150,,NUWARA ELIYA ,Indian,,
0022,GOLF GREEN BUNGLAOW,NUWARA ELIYA,3,,55,60,70,65,70,80,45,50,60,,NUWARA ELIYA ,Indian,,
