tour_code,tour_title,nights,days,day,location,activity,Typical visit time
4N5DKNEBC,04 Nights_05 Days_KANDY Nuwaraeliya BENTOTACOLOMBO City Tour,4,5,4,AMBALANGODA,AMBALANGODA Mask Factory,Morning
4N5DHYGC,04 Night_05 Days_HAMBANTOTA YALA GALLE COLOMBO,4,5,3,AMBALANGODA,AMBALANGODA Mask Factory,Morning
5N6DKNEBC,05 Nights_06 Days_KANDY NUWARA ELIYABENTOTACOLOMBO,5,6,4,AMBALANGODA,AMBALANGODA Mask Factory,Morning
5N6DPKNEYB,05 Nights_06 Days_PINNAWELA KANDY NUWARA ELIYAYALA BENTOTA,5,6,5,AMBALANGODA,AMBALANGODA Mask Factory,Morning
6N7DPKNEYBC,06 Nights_07 Days_PINNAWELA KANDY NUWARA ELIYAYALA BENTOTACOLOMBO,6,7,5,AMBALANGODA,AMBALANGODA Mask Factory,Morning
6N7DKNEBC,06 Nights_07 Days_KANDY NUWARA ELIYABENTOTACOLOMBO,6,7,5,AMBALANGODA,AMBALANGODA Mask Factory,Morning
5N6DKNEBC,05 Nights_06 Days_KANDY NUWARA ELIYABENTOTACOLOMBO,5,6,5,AMBALANGODA,AMBALANGODA Mask Factory,Morning
8N9DKPNEGC,08 Nights_09 Days_KANDY PINNAWELA NUWARA ELIYAGALLE COLOMBO,8,9,6,AMBALANGODA,AMBALANGODA Mask Factory,Morning
7N8DHPKBC,07 Nights_08 Days_Habarana PINNAWELA KANDY BENTOTACOLOMBO,7,8,6,AMBALANGODA,AMBALANGODA Mask Factory,Morning
6N7DSPDKBC,06 Nights_07 Days_SIGIRIYA PINNAWELA DAMBULLA PINNAWELA KANDY BENTOTACOLOMBO,6,7,5,AMBALANGODA,AMBALANGODA Mask Factory,Morning
7N8DDKNEB,07 Nights_08 Days_DAMBULLA KANDY NUWARA ELIYABENTOTA,7,8,7,AMBALANGODA,AMBALANGODA mask museum,Morning
7N8DKNEYBC,07 Nights_08 Days _KANDY NUWARA ELIYAYALA BENTOTACOLOMBO,7,8,6,AMBALANGODA,AMBALANGODA Mask Factory,Morning
12N13DHPKNEBC,12 Nights_13 Days_Habarana Pinnwela KANDY NUWARA ELIYABENTOTACOLOMBO,12,13,8,AMBALANGODA,AMBALANGODA Mask Factory,Morning
4N5DKNEBC,04 Nights_05 Days_KANDY Nuwaraeliya BENTOTACOLOMBO City Tour,4,5,4,BENTOTA,Turtle Hatchery,Evening
5N6DKNEBC,05 Nights_06 Days_KANDY NUWARA ELIYABENTOTACOLOMBO,5,6,4,BENTOTA,GALLE Day Excursion ,Morning
5N6DKNEBC,05 Nights_06 Days_KANDY NUWARA ELIYABENTOTACOLOMBO,5,6,4,BENTOTA,Turtle Hatchery,Evening
5N6DPKNEYB,05 Nights_06 Days_PINNAWELA KANDY NUWARA ELIYAYALA BENTOTA,5,6,4,BENTOTA,Water Sports Activity,Evening
5N6DPKNEYB,05 Nights_06 Days_PINNAWELA KANDY NUWARA ELIYAYALA BENTOTA,5,6,5,BENTOTA,Boat Ride,Evening
6N7DPKNEYBC,06 Nights_07 Days_PINNAWELA KANDY NUWARA ELIYAYALA BENTOTACOLOMBO,6,7,5,BENTOTA,Turtle Hatchery,Evening
7N8DKPNEBC,07 Nights_08 Days_KANDY PINNAWELA NUWARA ELIYABENTOTACOLOMBO,7,8,5,BENTOTA,St Clairs & Devon Waterfall ,Morning
7N8DKPNEBC,07 Nights_08 Days_KANDY PINNAWELA NUWARA ELIYABENTOTACOLOMBO,7,8,6,BENTOTA,Leisure at the hotel,Morning
6N7DKNEBC,06 Nights_07 Days_KANDY NUWARA ELIYABENTOTACOLOMBO,6,7,4,BENTOTA,Water Sports Activity,Evening
6N7DKNEBC,06 Nights_07 Days_KANDY NUWARA ELIYABENTOTACOLOMBO,6,7,5,BENTOTA,Turtle Hatchery,Evening
5N6DKNEBC,05 Nights_06 Days_KANDY NUWARA ELIYABENTOTACOLOMBO,5,6,4,BENTOTA,Water Sports Activity,Evening
5N6DKNEBC,05 Nights_06 Days_KANDY NUWARA ELIYABENTOTACOLOMBO,5,6,5,BENTOTA,Turtle Hatchery,Morning
8N9DKPNEGC,08 Nights_09 Days_KANDY PINNAWELA NUWARA ELIYAGALLE COLOMBO,8,9,6,BENTOTA,Turtle Hatchery,Evening
8N9DKPNEYB,08 Nights_09 Days_KANDY PINNAWELA NUWARA ELIYAYALA BENTOTA,8,9,7,BENTOTA,GALLE City tour,Morning
8N9DKPNEYB,08 Nights_09 Days_KANDY PINNAWELA NUWARA ELIYAYALA BENTOTA,8,9,7,BENTOTA,GALLE Fortress ,Morning
8N9DKPNEYB,08 Nights_09 Days_KANDY PINNAWELA NUWARA ELIYAYALA BENTOTA,8,9,7,BENTOTA,Boat Ride,Evening
8N9DKPNEYB,08 Nights_09 Days_KANDY PINNAWELA NUWARA ELIYAYALA BENTOTA,8,9,7,BENTOTA,Turtle Hatchery,Evening
8N9DKPNEYB,08 Nights_09 Days_KANDY PINNAWELA NUWARA ELIYAYALA BENTOTA,8,9,8,BENTOTA,Water Sports Activity,Morning
7N8DHPKBC,07 Nights_08 Days_Habarana PINNAWELA KANDY BENTOTACOLOMBO,7,8,5,BENTOTA,Water Sports Activity,Morning
7N8DHPKBC,07 Nights_08 Days_Habarana PINNAWELA KANDY BENTOTACOLOMBO,7,8,6,BENTOTA,Turtle Hatchery,Evening
7N8DHPKBC,07 Nights_08 Days_Habarana PINNAWELA KANDY BENTOTACOLOMBO,7,8,6,BENTOTA,Madu Boat Safari ,Evening
5N6DSDPKNEY,05 Nights_06 Days_Sigirya DAMBULLA PINNAWELA KANDY NUWARA ELIYAYALA BENTOTA,5,6,5,BENTOTA, Boat Ride,Evening
5N6DSDPKNEY,05 Nights_06 Days_Sigirya DAMBULLA PINNAWELA KANDY NUWARA ELIYAYALA BENTOTA,5,6,5,BENTOTA,Turtle Hatchery,Evening
6N7DSPDKBC,06 Nights_07 Days_SIGIRIYA PINNAWELA DAMBULLA PINNAWELA KANDY BENTOTACOLOMBO,6,7,5,BENTOTA,Turtle Hatchery,Morning
6N7DSPDKBC,06 Nights_07 Days_SIGIRIYA PINNAWELA DAMBULLA PINNAWELA KANDY BENTOTACOLOMBO,6,7,5,BENTOTA,River boat safari,Evening
7N8DDKNEB,07 Nights_08 Days_DAMBULLA KANDY NUWARA ELIYABENTOTA,7,8,7,BENTOTA,GALLE Fortress ,Morning
7N8DDKNEB,07 Nights_08 Days_DAMBULLA KANDY NUWARA ELIYABENTOTA,7,8,7,BENTOTA,Turtle Hatchery,Evening
7N8DDKNEB,07 Nights_08 Days_DAMBULLA KANDY NUWARA ELIYABENTOTA,7,8,7,BENTOTA,Madu Boat Safari ,Evening
7N8DKNEYBC,07 Nights_08 Days _KANDY NUWARA ELIYAYALA BENTOTACOLOMBO,7,8,6,BENTOTA,Turtle Hatchery,Evening
7N8DKNEYBC,07 Nights_08 Days _KANDY NUWARA ELIYAYALA BENTOTACOLOMBO,7,8,6,BENTOTA,river boat safari,Evening
12N13DHPKNEBC,12 Nights_13 Days_Habarana Pinnwela KANDY NUWARA ELIYABENTOTACOLOMBO,12,13,7,BENTOTA,Leisure at the hotel,Morning
12N13DHPKNEBC,12 Nights_13 Days_Habarana Pinnwela KANDY NUWARA ELIYABENTOTACOLOMBO,12,13,8,BENTOTA,Turtle Hatchery,Evening
